idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo925,geo850,nieve,geo700
1279X,-6.230729,2026-04-13T00:00:00+0000,0.0,240.0,1.4,0.3,56.0,43.424999,357.0,CAMUÑO,98.0,5.6,5.6,5.8,,,,,,,,,,,,,,,,,,,,,,,,
1283U,-6.469998,2026-04-13T00:00:00+0000,0.0,60.0,10.1,7.7,257.0,43.569166,284.0,CABO BUSTO,71.0,9.7,10.2,10.2,1010.7,0.9,10.5,1018.0,5.1,14.6,9.0,0.0,14.2,,,,,,,,,,,,,,,
1297E,-7.017618,2026-04-13T00:00:00+0000,0.2,1020.0,4.2,1.9,316.0,42.768579,287.0,CERVANTES-BAZAL,93.0,1.7,1.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1302F,-6.472407,2026-04-13T00:00:00+0000,0.0,1310.0,1.9,0.5,315.0,42.955269,242.0,DEGAÑA  COTO CORTÉS,98.0,-0.1,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
1309C,-6.884876,2026-04-13T00:00:00+0000,0.0,780.0,7.4,3.5,224.0,43.027413,260.0,SAN ANTOLIN DE IBIAS-LINARES,89.0,3.9,4.0,4.1,,,,,,,,,,,,,,,,,,,,,,,,
1327A,-6.673332,2026-04-13T00:00:00+0000,0.0,410.0,4.9,1.2,329.0,43.465552,242.0,ONETA,92.0,6.1,6.1,6.4,,,,,,,,,,,,,,,,,,,,,,,,
1331A,-7.031388,2026-04-13T00:00:00+0000,0.0,40.0,5.9,2.3,218.0,43.524722,227.0,CASTROPOL,79.0,8.4,8.8,8.9,,,,,5.3,,,,,,,101.0,,,,,,,,,,,,
1341B,-7.06098,2026-04-13T00:00:00+0000,0.0,340.0,5.8,3.0,194.0,43.415546,230.0,OURIA DE TARAMUNDI,89.0,6.7,6.7,7.0,,,,,,,,,,,,,,,,,,,,,,,,
1342X,-7.082971,2026-04-13T00:00:00+0000,0.0,43.0,6.8,2.3,207.0,43.540652,177.0,RIBADEO  VILAFRAMIL,78.0,9.1,9.2,9.4,,,,,,,,,,,,,,,,,,,,,,,,
1344X,-7.361736,2026-04-13T00:00:00+0000,0.2,125.0,,,,43.431333,,MONDOÑEDO,95.0,6.8,6.8,7.5,,,,,,,,,,,,,,,,,,,,,,,,
1347T,-7.357091,2026-04-13T00:00:00+0000,0.2,80.0,,,,43.651046,,BURELA,86.0,8.3,8.4,8.7,,,,,,,,,,,,,,,,,,,,,,,,
1351,-7.684866,2026-04-13T00:00:00+0000,0.1,90.39,15.8,10.6,245.0,43.786208,253.0,ESTACA DE BARES,93.0,9.0,9.1,9.5,1007.6,1.3,,1018.6,8.0,6.4,6.0,0.0,12.8,,,,,,0.1,,,,,,,,,
1363X,-7.861476,2026-04-13T00:00:00+0000,0.0,343.0,,,,43.445968,,AS PONTES A AEROSA,93.0,6.7,6.7,6.7,,,,,,,,,,,,,,,,,,,,,,,,
1387,-8.421517,2026-04-13T00:00:00+0000,0.4,57.07,6.7,3.8,229.0,43.365969,233.0,A CORUÑA,87.0,9.6,9.8,9.8,1012.2,0.6,9.8,1020.2,7.7,8.2,13.0,0.0,14.5,,,,,,0.41000000000000003,,,,,15.7,,,,
1387D,-8.441944,2026-04-13T00:00:00+0000,0.7,131.71,4.7,2.3,225.0,43.363309,232.0,BENS-A CORUÑA,91.0,8.3,8.4,8.6,1004.0,0.4,,,,,8.0,,,,,,,,,,,,,,,,,
1387E,-8.371975,2026-04-13T00:00:00+0000,0.0,98.0,6.7,2.3,260.0,43.306954,240.0,A CORUÑA/ALVEDRO,88.0,8.7,9.0,9.0,1007.5,0.3,8.6,1020.1,7.1,29.0,9.0,0.0,,,,,,,,,,,,,,,,
1390X,-8.711001,2026-04-13T00:00:00+0000,0.0,98.0,,,,43.203582,,CARBALLO,90.0,7.8,7.8,8.3,,,,,,,,,,,,,,,,,,,,,,,,
